,source,smiles,inchi,inchikey,validation
0,EC-edits_DH-2022-First-in-Class-Small-Molecules-R1..pdf,*NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,"InChI=1S/C20H28N8O3/c1-21-20(30)16-14(9-15(25-26-16)24-19(29)11-7-8-11)23-13-6-4-5-12(17(13)31-3)18-22-10-28(2)27-18/h4-6,9-11H,7-8H2,2-3H3,1H9,(H,21,30)(H2,23,24,25,29)/i1D9",KBIDSHYPPRIABE-PIJTYBDWSA-N,False
1,EC-edits_DH-2022-First-in-Class-Small-Molecules-R1..pdf,CC(C)n1c(=O)cc(N[C@@H](C)c2ccccc2)[nH]c1=O,"InChI=1S/C15H19N3O2/c1-10(2)18-14(19)9-13(17-15(18)20)16-11(3)12-7-5-4-6-8-12/h4-11,16H,1-3H3,(H,17,20)/t11-/m0/s1",RLCLASQCAPXVLM-NSHDSACASA-N,True
2,EC-edits_DH-2022-First-in-Class-Small-Molecules-R1..pdf,CC(C)c1c(O)cc(/C=C/c2ccccc2)cc1O,"InChI=1S/C17H18O2/c1-12(2)17-15(18)10-14(11-16(17)19)9-8-13-6-4-3-5-7-13/h3-12,18-19H,1-2H3/b9-8+",ZISJNXNHJRQYJO-CMDGGOBGSA-N,True
3,EC-edits_DH-2022-First-in-Class-Small-Molecules-R1..pdf,O=C(c1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1)N1CCN(CC2CC2)CC1,"InChI=1S/C24H26N4O3S/c29-24(28-15-13-27(14-16-28)17-18-6-7-18)20-8-10-21(11-9-20)26-32(30,31)22-5-1-3-19-4-2-12-25-23(19)22/h1-5,8-12,18,26H,6-7,13-17H2",XAYGBKHKBBXDAK-UHFFFAOYSA-N,True
4,EC-edits_DH-2022-First-in-Class-Small-Molecules-R1..pdf,[H][C@@]12CC[C@]3([H])[C@]([H])(CC[C@]4(C)[C@@H](C(C)=O)CC[C@@]34[H])[C@@]1(C)CC[C@@](C)(O)C2,"InChI=1S/C22H36O2/c1-14(23)17-7-8-18-16-6-5-15-13-20(2,24)11-12-21(15,3)19(16)9-10-22(17,18)4/h15-19,24H,5-13H2,1-4H3/t15-,16-,17+,18-,19-,20+,21-,22+/m0/s1",PGTVWKLGGCQMBR-FLBATMFCSA-N,True
5,EC-edits_DH-2022-First-in-Class-Small-Molecules-R1..pdf,CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1,"InChI=1S/C17H16FN3O2S/c1-19-10-13-9-17(15-6-2-3-7-16(15)18)21(12-13)24(22,23)14-5-4-8-20-11-14/h2-9,11-12,19H,10H2,1H3",BFDBKMOZYNOTPK-UHFFFAOYSA-N,True
6,EC-edits_DH-2022-First-in-Class-Small-Molecules-R1..pdf,*Cn1nc(NS(C)(=O)=O)c2c(Cl)ccc(-c3ccc(C#CC(C)(C)S(C)(=O)=O)nc3[C@H](Cc3cc(F)cc(F)c3)NC(=O)Cn3nc(C(F)(F)F)c4c3C(F)(F)[C@@H]3C[C@H]43)c21,,,False
7,EC-edits_DH-2022-First-in-Class-Small-Molecules-R1..pdf,O=C(O)CCC(NC(=O)NC(CCCCNC(=O)C(CC1=CC=C2C=CC=CC2=C1)NC(=O)C1CCC(CNC(=O)N234CCN5CCN678CC6C(=O)(C7)O[Cu]58267OC(=O)CN62(CC3)C4C27)CC1)C(=O)O)C(=O)O,"InChI=1S/C48H65N9O14.Cu/c58-40(59)15-14-36(45(66)67)54-46(68)53-35(44(64)65)7-3-4-16-50-43(63)37(24-31-10-11-32-5-1-2-6-34(32)23-31)52-42(62)33-12-8-30(9-13-33)25-51-47(69)57(22-21-55(27-39(55)57)28-41(60)61)20-18-49-17-19-56-26-38(56)48(70,71)29-56;/h1-2,5-6,10-11,23,27,30,33,35-39H,3-4,7-9,12-22,24-26,28-29H2,(H8-2,50,51,52,53,54,58,59,60,61,62,63,64,65,66,67,68,69,70,71);/t30-,33-,35?,36-,37-,38?,39?,55?,56?,57?;/m1./s1",IRONIIOKOARPMK-ZPMYXSIESA-N,False
8,EC-edits_DH-2022-First-in-Class-Small-Molecules-R1..pdf,CCNC[CH]12NC3=O=C45NC6C17[SH]1SC[CH]89%10NC%11%12%13%14(=O)=O=C(=O=%11)(C%12NC(=O)CNC(CN)=O=C(=O)(CN)NCC(=O)NC%13)N8%14C(C9S[SH]7C612)C%10(=O)N[CH]126(CC7=CC=C(O)C=C7)C78C9%10=C%11=C7(C9=CC(O)=C%11)C%101[CH]81C27(=O)=O=C16(=O)NC1C2(=O=C1(=O)NC(CCCN)C1=O=C([CH]N2)NC4C(C(N)=O)[CH]35N1)C(CC1=CC=CC=C1)N7,"InChI=1S/C68H80N20O18S4/c1-2-73-24-49-56-46-57(49)109(56)107-25-64-42(108-110(56)57)41(88(64)60-47-68(88,99,87-64,104-60,105-60)26-75-35(91)21-76-50(94,23-71)101-37(19-70)74-20-36(92)78-47)58(64,95)86-67(18-28-10-12-29(89)13-11-28)61-51-32-16-30(90)17-33(51)52(32,61)62(51,67)63(61)65(67,97)84-34(15-27-7-4-3-5-8-27)54-45(85-66(63,67,98)106-65)59(96,103-54)80-31(9-6-14-69)44-81-53-39(43(72)93)40(79-38(100-44)22-77-54)55(53,82-46)102-48(53)83-49/h3-5,7-8,10-13,16-17,22,31,34,39-42,45-47,49,53,63-64,67,73-74,77,79,81-83,89-90H,2,6,9,14-15,18-21,23-26,69-71H2,1H3,(H2,72,93)(H,75,91)(H,76,94)(H,78,92)(H,80,96)(H,84,97)(H,85,98)(H,86,95)(H,87,99)/t31-,34-,39?,40-,41-,42?,45?,46?,47?,56?,57?,61?,62?/m1/s1",BIWIYIKFJHKVBZ-LSNMJOPPSA-N,False
