,source,smiles,inchi,inchikey,validation
0,DH-MOTM-Poster-May2023.pdf,C[C@@H](O[P@SP2](=O)(N1CC1)N1CC1)c1ccc([N+](=O)[O-])c(Oc2cccc(C(=O)N(C)C)c2)c1,"InChI=1S/C21H25N4O6P/c1-15(31-32(29,23-9-10-23)24-11-12-24)16-7-8-19(25(27)28)20(14-16)30-18-6-4-5-17(13-18)21(26)22(2)3/h4-8,13-15H,9-12H2,1-3H3/t15-/m1/s1",NWGZZGNICQFUHV-OAHLLOKOSA-N,True
1,DH-MOTM-Poster-May2023.pdf,CC(=O)N1CCC(COc2ccc(-c3ccn[nH]3)nc2)CC1,"InChI=1S/C16H20N4O2/c1-12(21)20-8-5-13(6-9-20)11-22-14-2-3-15(17-10-14)16-4-7-18-19-16/h2-4,7,10,13H,5-6,8-9,11H2,1H3,(H,18,19)",GNQGSUOEYQIORN-UHFFFAOYSA-N,True
2,DH-MOTM-Poster-May2023.pdf,Cc1cn(C)nc1[C@H](Nc1c(Nc2ccnc(C(=O)N(C)C)c2O)c(=O)c1=O)C1(C)CCCC1,"InChI=1S/C24H30N6O4/c1-13-12-30(5)28-15(13)22(24(2)9-6-7-10-24)27-17-16(20(32)21(17)33)26-14-8-11-25-18(19(14)31)23(34)29(3)4/h8,11-12,22,27,31H,6-7,9-10H2,1-5H3,(H,25,26)/t22-/m0/s1",WZBSYWCLIMRAHO-QFIPXVFZSA-N,True
3,DH-MOTM-Poster-May2023.pdf,C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C,"InChI=1S/C15H19N5O/c1-3-13(21)20-8-11(5-4-10(20)2)19-15-12-6-7-16-14(12)17-9-18-15/h3,6-7,9-11H,1,4-5,8H2,2H3,(H2,16,17,18,19)/t10-,11+/m0/s1",CBRJPFGIXUFMTM-WDEREUQCSA-N,True
4,DH-MOTM-Poster-May2023.pdf,Cc1cc(OC[P@TB19]2(O)OCC[C@@H](c3cccc(Cl)c3)O2)cc(C)c1Cc1ccc(O)c(C(C)C)c1,"InChI=1S/C28H33ClO5P/c1-18(2)25-14-21(8-9-27(25)30)15-26-19(3)12-24(13-20(26)4)32-17-35(31)33-11-10-28(34-35)22-6-5-7-23(29)16-22/h5-9,12-14,16,18,28,30-31H,10-11,15,17H2,1-4H3/t28-/m0/s1",TYFGDBVDWAMZBM-NDEPHWFRSA-N,False
5,DH-MOTM-Poster-May2023.pdf,C[C@H]1CN(C2COC2)CCN1c1ccc(Nc2cc(-c3ccnc(N4CCn5c(cc6c5CC(C)(C)C6)C4=O)c3CO)cn(C)c2=O)nc1,"InChI=1S/C37H44N8O4/c1-23-18-42(27-21-49-22-27)9-10-43(23)26-5-6-33(39-17-26)40-30-13-25(19-41(4)35(30)47)28-7-8-38-34(29(28)20-46)45-12-11-44-31(36(45)48)14-24-15-37(2,3)16-32(24)44/h5-8,13-14,17,19,23,27,46H,9-12,15-16,18,20-22H2,1-4H3,(H,39,40)/t23-/m0/s1",WNEODWDFDXWOLU-QHCPKHFHSA-N,True
6,DH-MOTM-Poster-May2023.pdf,CCc1nc2c(C)cc(N3CCN(CC(=O)N4CC(O)C4)CC3)cn2c1N(C)c1nc(-c2ccc(F)cc2)c(C#N)s1,"InChI=1S/C30H33FN8O2S/c1-4-24-29(35(3)30-34-27(25(14-32)42-30)20-5-7-21(31)8-6-20)39-15-22(13-19(2)28(39)33-24)37-11-9-36(10-12-37)18-26(41)38-16-23(40)17-38/h5-8,13,15,23,40H,4,9-12,16-18H2,1-3H3",REQQVBGILUTQNN-UHFFFAOYSA-N,True
7,DH-MOTM-Poster-May2023.pdf,C[C@H]1CNCCN1c1nccc(-c2noc3c2CCC[C@@]32CCCc3sc(N)c(C#N)c32)n1,"InChI=1S/C24H27N7OS/c1-14-13-27-10-11-31(14)23-28-9-6-17(29-23)20-15-4-2-7-24(21(15)32-30-20)8-3-5-18-19(24)16(12-25)22(26)33-18/h6,9,14,27H,2-5,7-8,10-11,13,26H2,1H3/t14-,24-/m0/s1",PVOYBVVIBNPTPJ-BSEYFRJRSA-N,False
8,DH-MOTM-Poster-May2023.pdf,Cc1ccc(C(=O)Oc2ccc(C(CN(C)C)C3(O)CCCCC3)cc2)cc1,"InChI=1S/C24H31NO3/c1-18-7-9-20(10-8-18)23(26)28-21-13-11-19(12-14-21)22(17-25(2)3)24(27)15-5-4-6-16-24/h7-14,22,27H,4-6,15-17H2,1-3H3",QKYBZJLEMOZFFU-UHFFFAOYSA-N,True
9,DH-MOTM-Poster-May2023.pdf,[H][C@]1(N[S@SP2](C)(=O)=O)CCN(C(=O)C(C)(C)O)[C@@]1([H])Cc1cccc(-c2cc(F)cc(F)c2)c1F,"InChI=1S/C22H25F3N2O4S/c1-22(2,29)21(28)27-8-7-18(26-32(3,30)31)19(27)11-13-5-4-6-17(20(13)25)14-9-15(23)12-16(24)10-14/h4-6,9-10,12,18-19,26,29H,7-8,11H2,1-3H3/t18-,19-/m0/s1",VOSAWOSMGPKQEQ-OALUTQOASA-N,True
