,source,smiles,inchi,inchikey,validation
0,MOTM-Infographic-MAY.pdf,COc1ncc(-c2ccc(Cl)cc2)cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,"InChI=1S/C34H33ClN2O2/c1-37(2)21-20-34(38,31-15-9-13-25-10-7-8-14-29(25)31)32(26-11-5-4-6-12-26)30-22-27(23-36-33(30)39-3)24-16-18-28(35)19-17-24/h4-19,22-23,32,38H,20-21H2,1-3H3/t32-,34-/m1/s1",MMUCHWPQRGEHDV-ZFEZZJPFSA-N,False
1,MOTM-Infographic-MAY.pdf,CNC(=O)c1ccc(-c2ccc(C3(C(=O)N4CCC5(C4)OC(=O)c4ccccc45)CC3)cc2)cn1,"InChI=1S/C28H25N3O4/c1-29-24(32)23-11-8-19(16-30-23)18-6-9-20(10-7-18)27(12-13-27)26(34)31-15-14-28(17-31)22-5-3-2-4-21(22)25(33)35-28/h2-11,16H,12-15,17H2,1H3,(H,29,32)",BDQCDIWFPIDPQU-UHFFFAOYSA-N,True
2,MOTM-Infographic-MAY.pdf,NC(=O)c1c(F)ccc(OCc2nc(-c3ccc(C(F)(F)F)cc3)c(Br)o2)c1F,"InChI=1S/C18H10BrF5N2O3/c19-16-15(8-1-3-9(4-2-8)18(22,23)24)26-12(29-16)7-28-11-6-5-10(20)13(14(11)21)17(25)27/h1-6H,7H2,(H2,25,27)",ONGPJYSSZQHFBU-UHFFFAOYSA-N,True
3,MOTM-Infographic-MAY.pdf,CC(C)C[C@@H](C(=O)Nc1ccn(C[C@@H](O)CO)n1)N1CC(Oc2ccccc2Cl)=CC1=O,"InChI=1S/C22H27ClN4O5/c1-14(2)9-18(22(31)24-20-7-8-26(25-20)11-15(29)13-28)27-12-16(10-21(27)30)32-19-6-4-3-5-17(19)23/h3-8,10,14-15,18,28-29H,9,11-13H2,1-2H3,(H,24,25,31)/t15-,18+/m1/s1",HMUMWSORCUWQJO-QAPCUYQASA-N,True
4,MOTM-Infographic-MAY.pdf,Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)CS(C)(=O)=O)C2,"InChI=1S/C22H22FN3O5S/c1-14-18(22(25-31-14)15-3-6-17(23)7-4-15)12-30-20-8-5-16-11-26(10-9-19(16)24-20)21(27)13-32(2,28)29/h3-8H,9-13H2,1-2H3",GTVLCHCOKLXHLY-UHFFFAOYSA-N,True
5,MOTM-Infographic-MAY.pdf,C[C@H]1OC(=O)N(c2cc(-c3cnc(N)nc3C(F)(F)F)nc(N3CCOCC3)n2)[C@H]1CO,"InChI=1S/C18H20F3N7O4/c1-9-12(8-29)28(17(30)32-9)13-6-11(24-16(25-13)27-2-4-31-5-3-27)10-7-23-15(22)26-14(10)18(19,20)21/h6-7,9,12,29H,2-5,8H2,1H3,(H2,22,23,26)/t9-,12+/m1/s1",IEYOHYVYEJVEJJ-SKDRFNHKSA-N,True
6,MOTM-Infographic-MAY.pdf,C[C@H]1CCCCN1c1nnc2ccc(O[C@@H]3CC[C@H](NC(=O)Nc4cc(C(C)(C)C)nn4-c4cnn(CCN(C)C)c4)c4ccccc43)cn12,"InChI=1S/C37H49N11O2/c1-25-11-9-10-18-46(25)36-42-41-33-17-14-27(24-47(33)36)50-31-16-15-30(28-12-7-8-13-29(28)31)39-35(49)40-34-21-32(37(2,3)4)43-48(34)26-22-38-45(23-26)20-19-44(5)6/h7-8,12-14,17,21-25,30-31H,9-11,15-16,18-20H2,1-6H3,(H2,39,40,49)/t25-,30-,31+/m0/s1",PPZSTJQLZOPKBO-LGXAAPQCSA-N,True
7,MOTM-Infographic-MAY.pdf,O=C(Nc1ccc(-c2nc(-c3ccc(Cl)cc3)no2)cc1)C1CC(=O)N(Cc2ccco2)C1,"InChI=1S/C24H19ClN4O4/c25-18-7-3-15(4-8-18)22-27-24(33-28-22)16-5-9-19(10-6-16)26-23(31)17-12-21(30)29(13-17)14-20-2-1-11-32-20/h1-11,17H,12-14H2,(H,26,31)",LTOAWFRZXVPHAJ-UHFFFAOYSA-N,False
8,MOTM-Infographic-MAY.pdf,NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O,"InChI=1S/C21H25N5O4S/c22-31(28,29)30-11-14-9-15(10-19(14)27)26-8-7-17-20(23-12-24-21(17)26)25-18-6-5-13-3-1-2-4-16(13)18/h1-4,7-8,12,14-15,18-19,27H,5-6,9-11H2,(H2,22,28,29)(H,23,24,25)/t14-,15+,18-,19-/m0/s1",MPUQHZXIXSTTDU-QXGSTGNESA-N,True
9,MOTM-Infographic-MAY.pdf,[H][C@]12CC[C@H](c3ccc(Cl)cc3)CN1CCN(C(=O)c1cccc(OC)c1Br)C2,"InChI=1S/C22H24BrClN2O2/c1-28-20-4-2-3-19(21(20)23)22(27)26-12-11-25-13-16(7-10-18(25)14-26)15-5-8-17(24)9-6-15/h2-6,8-9,16,18H,7,10-14H2,1H3/t16-,18+/m0/s1",BKTASVDLNMGMFP-FUHWJXTLSA-N,True
