,source,smiles,inchi,inchikey,validation
0,MOTM-Infographic-JUNE.pdf,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)CC(=O)N3)[C@H]2C[C@H]21)c1ccc(Cl)cc1,"InChI=1S/C25H31ClN6O2/c1-14(2)27-12-18(16-4-6-17(26)7-5-16)25(34)32-9-8-31(19-11-20(19)32)24-22-15(3)10-21(33)30-23(22)28-13-29-24/h4-7,13-15,18-20,27H,8-12H2,1-3H3,(H,28,29,30,33)/t15-,18-,19+,20-/m1/s1",RXNPEQZHMGFNAY-GEALJGNFSA-N,True
1,MOTM-Infographic-JUNE.pdf,CC1(C)Oc2cc(NS(C)(=O)=O)ccc2N(c2ccc(F)cc2)C1=O,"InChI=1S/C17H17FN2O4S/c1-17(2)16(21)20(13-7-4-11(18)5-8-13)14-9-6-12(10-15(14)24-17)19-25(3,22)23/h4-10,19H,1-3H3",AZNHWXAFPBYFGH-UHFFFAOYSA-N,True
2,MOTM-Infographic-JUNE.pdf,COCCO[C@@H]1CC[C@@H](NC(=O)c2cc(-c3cncs3)nc3[nH]ccc23)CC1,"InChI=1S/C20H24N4O3S/c1-26-8-9-27-14-4-2-13(3-5-14)23-20(25)16-10-17(18-11-21-12-28-18)24-19-15(16)6-7-22-19/h6-7,10-14H,2-5,8-9H2,1H3,(H,22,24)(H,23,25)/t13-,14-",JUVJFMVGYBBDKN-HDJSIYSDSA-N,False
3,MOTM-Infographic-JUNE.pdf,Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](NC(=O)c2ccnn2C(C)C)C(C2CC2)C2CC2)cc1,"InChI=1S/C27H34N6O2/c1-15(2)33-22(13-14-28-33)26(34)30-25(24(19-5-6-19)20-7-8-20)27(35)29-21-11-9-18(10-12-21)23-16(3)31-32-17(23)4/h9-15,19-20,24-25H,5-8H2,1-4H3,(H,29,35)(H,30,34)(H,31,32)/t25-/m0/s1",CQKVACARDGYEMU-VWLOTQADSA-N,True
4,MOTM-Infographic-JUNE.pdf,CNc1nc(Nc2cn(C(C)(C)C#N)nc2C)ncc1C(F)(F)F,"InChI=1S/C14H16F3N7/c1-8-10(6-24(23-8)13(2,3)7-18)21-12-20-5-9(14(15,16)17)11(19-4)22-12/h5-6H,1-4H3,(H2,19,20,21,22)",ZPPUMAMZIMPJGP-UHFFFAOYSA-N,True
5,MOTM-Infographic-JUNE.pdf,Cc1ccc(F)c([C@@H](C)[C@H](NS(=O)(=O)c2ccc(Cl)cc2C(N)=O)c2n[nH]c(=O)o2)c1C,"InChI=1S/C20H20ClFN4O5S/c1-9-4-6-14(22)16(10(9)2)11(3)17(19-24-25-20(28)31-19)26-32(29,30)15-7-5-12(21)8-13(15)18(23)27/h4-8,11,17,26H,1-3H3,(H2,23,27)(H,25,28)/t11-,17+/m1/s1",DUYRWEBTZNUILI-DIFFPNOSSA-N,True
6,MOTM-Infographic-JUNE.pdf,[H][C@]12CN(C(=O)c3cc(S(C)(=O)=O)ccc3O[C@H](C)C(F)(F)F)C[C@@]1(c1cc(C(F)(F)F)on1)C2,"InChI=1S/C20H18F6N2O5S/c1-10(19(21,22)23)32-14-4-3-12(34(2,30)31)5-13(14)17(29)28-8-11-7-18(11,9-28)15-6-16(33-27-15)20(24,25)26/h3-6,10-11H,7-9H2,1-2H3/t10-,11+,18+/m1/s1",MYHDQTVHHMSLEF-DDBGAENHSA-N,True
7,MOTM-Infographic-JUNE.pdf,CC(C)(C1=NC(=NO1)C23CCC(CC2)(CC3)CN(C4=CC=CC(=C4)C5=CC=C(C=C5)C(C)(C)O)C(=O)[C@@H]6C[C@](C6)(C(F)(F)F)O)F,"InChI=1S/C35H41F4N3O4/c1-30(2,36)29-40-28(41-46-29)33-15-12-32(13-16-33,14-17-33)21-42(27(43)24-19-34(45,20-24)35(37,38)39)26-7-5-6-23(18-26)22-8-10-25(11-9-22)31(3,4)44/h5-11,18,24,44-45H,12-17,19-21H2,1-4H3/t24-,32?,33?,34+",AEMZJBZKICOPPC-RNMMDBENSA-N,True
8,MOTM-Infographic-JUNE.pdf,CC(=O)N1CCN([C@H]2CCC[C@@H](NC(=O)c3cc4c(F)ccc(C)c4[nH]3)C2)CC1,"InChI=1S/C22H29FN4O2/c1-14-6-7-19(23)18-13-20(25-21(14)18)22(29)24-16-4-3-5-17(12-16)27-10-8-26(9-11-27)15(2)28/h6-7,13,16-17,25H,3-5,8-12H2,1-2H3,(H,24,29)/t16-,17+/m1/s1",PGNLXEBQMQHFNK-SJORKVTESA-N,True
9,MOTM-Infographic-JUNE.pdf,COc1cc(OCc2nc(N3CCOCC3)sc2C)c2cc(-c3cn4nc(OC)sc4n3)oc2c1,"InChI=1S/C23H23N5O5S2/c1-13-17(25-21(34-13)27-4-6-31-7-5-27)12-32-18-8-14(29-2)9-19-15(18)10-20(33-19)16-11-28-22(24-16)35-23(26-28)30-3/h8-11H,4-7,12H2,1-3H3",MINMDCMSHDBHKG-UHFFFAOYSA-N,True
10,MOTM-Infographic-JUNE.pdf,COc1cc(OCc2nc(N3CCOCC3)sc2C)c2cc(-c3cn4nc(OC)sc4n3)oc2c1,"InChI=1S/C23H23N5O5S2/c1-13-17(25-21(34-13)27-4-6-31-7-5-27)12-32-18-8-14(29-2)9-19-15(18)10-20(33-19)16-11-28-22(24-16)35-23(26-28)30-3/h8-11H,4-7,12H2,1-3H3",MINMDCMSHDBHKG-UHFFFAOYSA-N,True
