,source,smiles,inchi,inchikey,validation
0,EC-edits_DH-2022-First-in-Class-Small-Molecules-R1..pdf,C=C(C)N/C(C=[IH])=C/I,"InChI=1S/C6H9I2N/c1-5(2)9-6(3-7)4-8/h3-4,7,9H,1H2,2H3/b6-4+",TYAMPIPVYPPYLE-GQCTYLIASA-N,False
1,EC-edits_DH-2022-First-in-Class-Small-Molecules-R1..pdf,C=C(I)/C=C(\NC)NC(C)/C(C)=C/C,"InChI=1S/C11H19IN2/c1-6-8(2)10(4)14-11(13-5)7-9(3)12/h6-7,10,13-14H,3H2,1-2,4-5H3/b8-6+,11-7+/t10-/m0/s1",DUNGUZJIYFSCTL-OSKXNBKNSA-N,False
2,EC-edits_DH-2022-First-in-Class-Small-Molecules-R1..pdf,C/C=C/c1cccc(I)c1,"InChI=1S/C9H9I/c1-2-4-8-5-3-6-9(10)7-8/h2-7H,1H3/b4-2+",JVSDDCBODITJKV-DUXPYHPUSA-N,True
3,EC-edits_DH-2022-First-in-Class-Small-Molecules-R1..pdf,Cc1ccc(N)cc1,"InChI=1S/C7H9N/c1-6-2-4-7(8)5-3-6/h2-5H,8H2,1H3",RZXMPPFPUUCRFN-UHFFFAOYSA-N,True
4,EC-edits_DH-2022-First-in-Class-Small-Molecules-R1..pdf,*C(C)(C)[C@]([H])(CC)[C@]([H])(CCC)[C@@](C)(CC)C(=C)C,,,False
5,EC-edits_DH-2022-First-in-Class-Small-Molecules-R1..pdf,CCS(=O)(=O)n1cc(I)cc1CI,"InChI=1S/C7H9I2NO2S/c1-2-13(11,12)10-5-6(9)3-7(10)4-8/h3,5H,2,4H2,1H3",CKKCOVZKLHFGMD-UHFFFAOYSA-N,False
6,EC-edits_DH-2022-First-in-Class-Small-Molecules-R1..pdf,CC[C@@H](CN=C(C)C)NC,"InChI=1S/C8H18N2/c1-5-8(9-4)6-10-7(2)3/h8-9H,5-6H2,1-4H3/t8-/m0/s1",HMDSUAFDCQLOJT-QMMMGPOBSA-N,False
7,EC-edits_DH-2022-First-in-Class-Small-Molecules-R1..pdf,*CC[1H]CC(=O)OC.C=CC1=CC(CC(CI)NC(=O)C(CCC)CCC)=CC=C1C,,,False
8,EC-edits_DH-2022-First-in-Class-Small-Molecules-R1..pdf,C=C[C@H](CSSCC)NC,"InChI=1S/C7H15NS2/c1-4-7(8-3)6-10-9-5-2/h4,7-8H,1,5-6H2,2-3H3/t7-/m1/s1",HRUYBTOHLQKYPV-SSDOTTSWSA-N,False
