,source,smiles,inchi,inchikey,validation
0,MOTM-Infographic-JULY.pdf,C=CC(=O)N1CCN(c2ncc3ncnc(Nc4ccc(Oc5ccc6c(c5)ncn6C)c(C)c4)c3n2)CC1,"InChI=1S/C28H27N9O2/c1-4-25(38)36-9-11-37(12-10-36)28-29-15-22-26(34-28)27(31-16-30-22)33-19-5-8-24(18(2)13-19)39-20-6-7-23-21(14-20)32-17-35(23)3/h4-8,13-17H,1,9-12H2,2-3H3,(H,30,31,33)",JKBYBPNRTMHEGS-UHFFFAOYSA-N,False
1,MOTM-Infographic-JULY.pdf,O=C(O)c1ccc(CN2CCC[C@H](O[C@H](CO)c3cc(Cl)cc(Cl)c3)[C@@H]2c2ccccc2)c([N+](=O)[O-])c1,"InChI=1S/C27H26Cl2N2O6/c28-21-11-20(12-22(29)14-21)25(16-32)37-24-7-4-10-30(26(24)17-5-2-1-3-6-17)15-19-9-8-18(27(33)34)13-23(19)31(35)36/h1-3,5-6,8-9,11-14,24-26,32H,4,7,10,15-16H2,(H,33,34)/t24-,25+,26-/m0/s1",REDPQDQMPNUDEP-NXCFDTQHSA-N,True
2,MOTM-Infographic-JULY.pdf,Cn1nncc1-c1cnn([C@H](CCOC(F)F)c2ccc(-c3c(-n4cc(Cl)nn4)ccc(Cl)c3F)c[n+]2[O-])c1,"InChI=1S/C23H18Cl2F3N9O2/c1-34-19(9-29-32-34)14-8-30-35(10-14)16(6-7-39-23(27)28)17-4-2-13(11-37(17)38)21-18(5-3-15(24)22(21)26)36-12-20(25)31-33-36/h2-5,8-12,16,23H,6-7H2,1H3/t16-/m1/s1",BETDGMHNHGHORO-MRXNPFEDSA-N,True
3,MOTM-Infographic-JULY.pdf,CO[C@@H]1CCN(c2nccc(Nc3cc4c(C(C)C)ccc(N5C[C@H](CS(C)(=O)=O)[C@H]5C)c4cn3)n2)C[C@@H]1F,"InChI=1S/C28H37FN6O3S/c1-17(2)20-6-7-24(35-14-19(18(35)3)16-39(5,36)37)22-13-31-27(12-21(20)22)32-26-8-10-30-28(33-26)34-11-9-25(38-4)23(29)15-34/h6-8,10,12-13,17-19,23,25H,9,11,14-16H2,1-5H3,(H,30,31,32,33)/t18-,19-,23+,25-/m1/s1",LIMFPAAAIVQRRD-BCGVJQADSA-N,True
4,MOTM-Infographic-JULY.pdf,Cc1ccc2c(c1)cc([C@H]1C[C@H](n3nc(C)cc3CN)CN1C(=O)c1cnc3[nH]c(C)cc3c1)n2Cc1ccc(Cl)cc1,"InChI=1S/C34H34ClN7O/c1-20-4-9-30-24(10-20)14-31(40(30)18-23-5-7-27(35)8-6-23)32-15-29(42-28(16-36)12-22(3)39-42)19-41(32)34(43)26-13-25-11-21(2)38-33(25)37-17-26/h4-14,17,29,32H,15-16,18-19,36H2,1-3H3,(H,37,38)/t29-,32+/m0/s1",LJMIMBZGIMDSPE-BHDXBOSCSA-N,False
5,MOTM-Infographic-JULY.pdf,[H][C@@]12CC=C3C[C@@](C)(O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)[C@@H]([C@H](C)CC[C@](C)(O)C(F)(F)F)CC[C@@]21[H],"InChI=1S/C27H43F3O2/c1-17(10-13-26(5,32)27(28,29)30)20-8-9-21-19-7-6-18-16-23(2,31)14-15-24(18,3)22(19)11-12-25(20,21)4/h6,17,19-22,31-32H,7-16H2,1-5H3/t17-,19+,20-,21+,22+,23+,24+,25-,26+/m1/s1",BVBRUQYHUXKZMQ-JNVAYQLDSA-N,True
6,MOTM-Infographic-JULY.pdf,Cc1c(C#N)cccc1[C@@H](C)Nc1nnc(C)c2cnc(N3CCOCC3)cc12,"InChI=1S/C22H24N6O/c1-14-17(12-23)5-4-6-18(14)15(2)25-22-19-11-21(28-7-9-29-10-8-28)24-13-20(19)16(3)26-27-22/h4-6,11,13,15H,7-10H2,1-3H3,(H,25,27)/t15-/m1/s1",ILPWEAHQRAWJIU-OAHLLOKOSA-N,True
7,MOTM-Infographic-JULY.pdf,Cc1cc2c(C(N)=O)c(N)n(-c3c(C)ccc(O)c3C)c2nc1C,"InChI=1S/C18H20N4O2/c1-8-5-6-13(23)10(3)15(8)22-16(19)14(17(20)24)12-7-9(2)11(4)21-18(12)22/h5-7,23H,19H2,1-4H3,(H2,20,24)",ARBRHWRTXPWZGN-UHFFFAOYSA-N,True
8,MOTM-Infographic-JULY.pdf,CCOCc1cnc(Cl)nc1Oc1ccc2c(ccc3sc4c(c32)NC[C@@H](C)NC4=O)n1,"InChI=1S/C22H20ClN5O3S/c1-3-30-10-12-9-25-22(23)28-21(12)31-16-7-4-13-14(27-16)5-6-15-17(13)18-19(32-15)20(29)26-11(2)8-24-18/h4-7,9,11,24H,3,8,10H2,1-2H3,(H,26,29)/t11-/m1/s1",PYOQIOLRFIRRSO-LLVKDONJSA-N,True
9,MOTM-Infographic-JULY.pdf,Cn1nc(C(=O)OCCCCNC[C@H](O)c2ccc(O)c3[nH]c(=O)ccc23)cc1COc1cccc([C@@H](NC(=O)O[C@H]2CN3CCC2CC3)c2ccccc2)c1,"InChI=1S/C42H48N6O8/c1-47-30(23-34(46-47)41(52)54-21-6-5-18-43-24-36(50)32-12-14-35(49)40-33(32)13-15-38(51)44-40)26-55-31-11-7-10-29(22-31)39(28-8-3-2-4-9-28)45-42(53)56-37-25-48-19-16-27(37)17-20-48/h2-4,7-15,22-23,27,36-37,39,43,49-50H,5-6,16-21,24-26H2,1H3,(H,44,51)(H,45,53)/t36-,37-,39-/m0/s1",YWSIONULMMKTSJ-UZGNFBRWSA-N,True
